epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
79,732.639,0.47226,0.33241,0.01612,0.00164,0.9929,0.99024,0.99485,0.88758,0.49585,0.31704,0.01215,0.00089,8.24385e-05,8.24385e-05,8.24385e-05
80,741.23,0.48144,0.33565,0.01688,0.00159,0.99353,0.99053,0.99485,0.88769,0.49851,0.3112,0.01213,0.00089,7.59535e-05,7.59535e-05,7.59535e-05
81,750.106,0.48027,0.34082,0.0163,0.00151,0.99317,0.99166,0.99485,0.88609,0.49509,0.32151,0.01217,0.0009,6.97259e-05,6.97259e-05,6.97259e-05
82,758.954,0.47984,0.34845,0.01721,0.00172,0.99417,0.99261,0.99485,0.88125,0.50549,0.31863,0.01226,0.0009,6.37619e-05,6.37619e-05,6.37619e-05
83,767.977,0.47882,0.34506,0.01727,0.00177,0.99385,0.99242,0.99485,0.88058,0.50581,0.31691,0.01238,0.00088,5.80675e-05,5.80675e-05,5.80675e-05
84,776.815,0.47583,0.33461,0.01565,0.00209,0.99117,0.98933,0.9947,0.88616,0.48984,0.32037,0.01216,0.00087,5.26481e-05,5.26481e-05,5.26481e-05
85,785.552,0.46631,0.32445,0.01678,0.00214,0.99268,0.9924,0.99485,0.88763,0.48811,0.32057,0.01203,0.00087,4.75092e-05,4.75092e-05,4.75092e-05
86,794.511,0.46591,0.32496,0.01686,0.00156,0.99253,0.98945,0.9947,0.88624,0.48756,0.32154,0.01193,0.00087,4.26558e-05,4.26558e-05,4.26558e-05
87,803.196,0.47827,0.32674,0.01703,0.00176,0.99309,0.99237,0.99485,0.88612,0.4889,0.3184,0.01193,0.00085,3.80928e-05,3.80928e-05,3.80928e-05
88,812.045,0.46893,0.33324,0.0187,0.00181,0.99298,0.99258,0.99485,0.88609,0.4986,0.31301,0.01205,0.00086,3.38245e-05,3.38245e-05,3.38245e-05
89,820.663,0.47461,0.33233,0.01791,0.00164,0.99235,0.99229,0.99485,0.88646,0.50115,0.31358,0.01218,0.00088,2.98553e-05,2.98553e-05,2.98553e-05
90,829.36,0.4785,0.33623,0.01585,0.00193,0.99156,0.99279,0.99485,0.88508,0.49655,0.31431,0.01222,0.00088,2.61891e-05,2.61891e-05,2.61891e-05
91,854.062,0.40279,0.26948,0.01513,0.00074,0.99298,0.99331,0.99485,0.88693,0.4877,0.32065,0.01217,0.00086,2.28294e-05,2.28294e-05,2.28294e-05
92,862.493,0.40415,0.27047,0.01626,0.00088,0.99318,0.99292,0.99485,0.88649,0.48919,0.3189,0.01214,0.00086,1.97796e-05,1.97796e-05,1.97796e-05
93,870.857,0.39179,0.256,0.01517,0.00071,0.99227,0.99233,0.99485,0.88601,0.49422,0.31506,0.0122,0.00087,1.70427e-05,1.70427e-05,1.70427e-05
94,879.362,0.39825,0.26237,0.0153,0.00074,0.99224,0.99194,0.99485,0.88547,0.49472,0.3149,0.01222,0.00088,1.46214e-05,1.46214e-05,1.46214e-05
95,887.814,0.3958,0.25881,0.01636,0.00072,0.99205,0.99149,0.99485,0.88299,0.4947,0.3159,0.01228,0.00089,1.25181e-05,1.25181e-05,1.25181e-05
